,state,county,poverty_percent_15,median_household_income_15
638,IL,Franklin County,18.7,"43,428"
639,IL,Fulton County,14.9,"44,649"
640,IL,Gallatin County,17.9,"40,817"
641,IL,Greene County,16.6,"43,943"
642,IL,Grundy County,7.7,"71,928"
643,IL,Hamilton County,13.0,"45,926"
644,IL,Hancock County,12.7,"48,213"
645,IL,Hardin County,20.6,"39,128"
646,IL,Henderson County,11.5,"47,354"
647,IL,Henry County,10.7,"58,983"
648,IL,Iroquois County,13.3,"49,836"
649,IL,Jackson County,23.5,"36,613"
650,IL,Jasper County,12.0,"52,608"
651,IL,Jefferson County,16.7,"46,460"
